treatment_class,treatment,orig_var,variable,value,replacement
MappedCodeTransform,prevalence_code,v_4642,v_4642_prevalence_code,b,0.48
IndicatorCodeTransform,indicator_code,v_4642,v_4642_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4642,v_4642_lev_b,b,1.0
MappedCodeTransform,impact_code,v_443,v_443_impact_code,a,-0.0012352735431897933
MappedCodeTransform,impact_code,v_443,v_443_impact_code,b,0.002363149872843239
MappedCodeTransform,deviation_code,v_443,v_443_deviation_code,a,1.709193016741014
MappedCodeTransform,deviation_code,v_443,v_443_deviation_code,b,1.2019514042488308
MappedCodeTransform,prevalence_code,v_443,v_443_prevalence_code,a,0.43
MappedCodeTransform,prevalence_code,v_443,v_443_prevalence_code,b,0.57
IndicatorCodeTransform,indicator_code,v_443,v_443_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_443,v_443_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4207,v_4207_impact_code,a,0.04417047462819231
MappedCodeTransform,impact_code,v_4207,v_4207_impact_code,b,-0.0412457677093096
MappedCodeTransform,deviation_code,v_4207,v_4207_deviation_code,a,1.388987467260176
MappedCodeTransform,deviation_code,v_4207,v_4207_deviation_code,b,1.4858097372144605
MappedCodeTransform,prevalence_code,v_4207,v_4207_prevalence_code,a,0.51
MappedCodeTransform,prevalence_code,v_4207,v_4207_prevalence_code,b,0.49
IndicatorCodeTransform,indicator_code,v_4207,v_4207_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4207,v_4207_lev_b,b,1.0
MappedCodeTransform,impact_code,v_4782,v_4782_impact_code,a,0.03169923492926157
MappedCodeTransform,impact_code,v_4782,v_4782_impact_code,b,-0.028918555717237754
MappedCodeTransform,deviation_code,v_4782,v_4782_deviation_code,a,1.3735122274967724
MappedCodeTransform,deviation_code,v_4782,v_4782_deviation_code,b,1.508366045272221
MappedCodeTransform,prevalence_code,v_4782,v_4782_prevalence_code,a,0.53
MappedCodeTransform,prevalence_code,v_4782,v_4782_prevalence_code,b,0.47
IndicatorCodeTransform,indicator_code,v_4782,v_4782_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4782,v_4782_lev_b,b,1.0
MappedCodeTransform,impact_code,v_2005,v_2005_impact_code,a,-0.005090010317860548
MappedCodeTransform,impact_code,v_2005,v_2005_impact_code,b,0.0049755608637444635
MappedCodeTransform,deviation_code,v_2005,v_2005_deviation_code,a,1.431684467891061
MappedCodeTransform,deviation_code,v_2005,v_2005_deviation_code,b,1.4500853674275465
MappedCodeTransform,prevalence_code,v_2005,v_2005_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_2005,v_2005_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_2005,v_2005_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2005,v_2005_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4332,v_4332_impact_code,a,-0.1706515878538333
MappedCodeTransform,impact_code,v_4332,v_4332_impact_code,b,0.1852973790526705
MappedCodeTransform,deviation_code,v_4332,v_4332_deviation_code,a,1.4135194219904428
MappedCodeTransform,deviation_code,v_4332,v_4332_deviation_code,b,1.4294567269256393
MappedCodeTransform,prevalence_code,v_4332,v_4332_prevalence_code,a,0.53
MappedCodeTransform,prevalence_code,v_4332,v_4332_prevalence_code,b,0.47
IndicatorCodeTransform,indicator_code,v_4332,v_4332_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4332,v_4332_lev_b,b,1.0
MappedCodeTransform,impact_code,v_802,v_802_impact_code,a,-0.02789175438086596
MappedCodeTransform,impact_code,v_802,v_802_impact_code,b,0.02211073324819155
MappedCodeTransform,deviation_code,v_802,v_802_deviation_code,a,1.325800609999665
MappedCodeTransform,deviation_code,v_802,v_802_deviation_code,b,1.5358276912386248
MappedCodeTransform,prevalence_code,v_802,v_802_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_802,v_802_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_802,v_802_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_802,v_802_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3508,v_3508_impact_code,a,0.009642532571408017
MappedCodeTransform,impact_code,v_3508,v_3508_impact_code,b,-0.008716337819571714
MappedCodeTransform,deviation_code,v_3508,v_3508_deviation_code,a,1.415131227511785
MappedCodeTransform,deviation_code,v_3508,v_3508_deviation_code,b,1.4576701016113602
MappedCodeTransform,prevalence_code,v_3508,v_3508_prevalence_code,a,0.41
MappedCodeTransform,prevalence_code,v_3508,v_3508_prevalence_code,b,0.59
IndicatorCodeTransform,indicator_code,v_3508,v_3508_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3508,v_3508_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2820,v_2820_impact_code,a,-0.10026621830045346
MappedCodeTransform,impact_code,v_2820,v_2820_impact_code,b,0.0920680903706801
MappedCodeTransform,deviation_code,v_2820,v_2820_deviation_code,a,1.5267897127137482
MappedCodeTransform,deviation_code,v_2820,v_2820_deviation_code,b,1.3591205745070933
MappedCodeTransform,prevalence_code,v_2820,v_2820_prevalence_code,a,0.42
MappedCodeTransform,prevalence_code,v_2820,v_2820_prevalence_code,b,0.58
IndicatorCodeTransform,indicator_code,v_2820,v_2820_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2820,v_2820_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3035,v_3035_impact_code,a,0.005880174071117205
MappedCodeTransform,impact_code,v_3035,v_3035_impact_code,b,-0.004804722131896983
MappedCodeTransform,deviation_code,v_3035,v_3035_deviation_code,a,1.3612849363568449
MappedCodeTransform,deviation_code,v_3035,v_3035_deviation_code,b,1.48912445596249
MappedCodeTransform,prevalence_code,v_3035,v_3035_prevalence_code,a,0.39
MappedCodeTransform,prevalence_code,v_3035,v_3035_prevalence_code,b,0.61
IndicatorCodeTransform,indicator_code,v_3035,v_3035_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3035,v_3035_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3729,v_3729_impact_code,a,0.04484963929782609
MappedCodeTransform,impact_code,v_3729,v_3729_impact_code,b,-0.04191169951597648
MappedCodeTransform,deviation_code,v_3729,v_3729_deviation_code,a,1.4417502688724073
MappedCodeTransform,deviation_code,v_3729,v_3729_deviation_code,b,1.4334219372331498
MappedCodeTransform,prevalence_code,v_3729,v_3729_prevalence_code,a,0.45
MappedCodeTransform,prevalence_code,v_3729,v_3729_prevalence_code,b,0.55
IndicatorCodeTransform,indicator_code,v_3729,v_3729_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3729,v_3729_lev_a,a,1.0
MappedCodeTransform,impact_code,v_1479,v_1479_impact_code,a,-0.05401049156780773
MappedCodeTransform,impact_code,v_1479,v_1479_impact_code,b,0.05199982926642119
MappedCodeTransform,deviation_code,v_1479,v_1479_deviation_code,a,1.3396073806620503
MappedCodeTransform,deviation_code,v_1479,v_1479_deviation_code,b,1.5605205658904102
MappedCodeTransform,prevalence_code,v_1479,v_1479_prevalence_code,a,0.58
MappedCodeTransform,prevalence_code,v_1479,v_1479_prevalence_code,b,0.42
IndicatorCodeTransform,indicator_code,v_1479,v_1479_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_1479,v_1479_lev_b,b,1.0
MappedCodeTransform,impact_code,v_2040,v_2040_impact_code,a,0.1139688638811258
MappedCodeTransform,impact_code,v_2040,v_2040_impact_code,b,-0.11201375490638785
MappedCodeTransform,deviation_code,v_2040,v_2040_deviation_code,a,1.283542873473077
MappedCodeTransform,deviation_code,v_2040,v_2040_deviation_code,b,1.5971525716930737
MappedCodeTransform,prevalence_code,v_2040,v_2040_prevalence_code,a,0.56
MappedCodeTransform,prevalence_code,v_2040,v_2040_prevalence_code,b,0.44
IndicatorCodeTransform,indicator_code,v_2040,v_2040_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2040,v_2040_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3332,v_3332_impact_code,a,-0.0029568033458893432
MappedCodeTransform,impact_code,v_3332,v_3332_impact_code,b,0.0022444986986941027
MappedCodeTransform,deviation_code,v_3332,v_3332_deviation_code,a,1.3304136296578086
MappedCodeTransform,deviation_code,v_3332,v_3332_deviation_code,b,1.5441299015322112
MappedCodeTransform,prevalence_code,v_3332,v_3332_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_3332,v_3332_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_3332,v_3332_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3332,v_3332_lev_b,b,1.0
MappedCodeTransform,impact_code,v_305,v_305_impact_code,a,-0.13949552596899326
MappedCodeTransform,impact_code,v_305,v_305_impact_code,b,0.12919333529783145
MappedCodeTransform,deviation_code,v_305,v_305_deviation_code,a,1.3714403924166103
MappedCodeTransform,deviation_code,v_305,v_305_deviation_code,b,1.4787245364753514
MappedCodeTransform,prevalence_code,v_305,v_305_prevalence_code,a,0.49
MappedCodeTransform,prevalence_code,v_305,v_305_prevalence_code,b,0.51
IndicatorCodeTransform,indicator_code,v_305,v_305_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_305,v_305_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2735,v_2735_impact_code,a,-0.09844695182918423
MappedCodeTransform,impact_code,v_2735,v_2735_impact_code,b,0.11446695447099306
MappedCodeTransform,deviation_code,v_2735,v_2735_deviation_code,a,1.4363348207491842
MappedCodeTransform,deviation_code,v_2735,v_2735_deviation_code,b,1.4233091737939068
MappedCodeTransform,prevalence_code,v_2735,v_2735_prevalence_code,a,0.56
MappedCodeTransform,prevalence_code,v_2735,v_2735_prevalence_code,b,0.44
IndicatorCodeTransform,indicator_code,v_2735,v_2735_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2735,v_2735_lev_b,b,1.0
MappedCodeTransform,impact_code,v_2774,v_2774_impact_code,a,0.0021163741063029927
MappedCodeTransform,impact_code,v_2774,v_2774_impact_code,b,-0.0035159494520543826
MappedCodeTransform,deviation_code,v_2774,v_2774_deviation_code,a,1.5887151065535512
MappedCodeTransform,deviation_code,v_2774,v_2774_deviation_code,b,1.2171189485841956
MappedCodeTransform,prevalence_code,v_2774,v_2774_prevalence_code,a,0.57
MappedCodeTransform,prevalence_code,v_2774,v_2774_prevalence_code,b,0.43
IndicatorCodeTransform,indicator_code,v_2774,v_2774_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2774,v_2774_lev_b,b,1.0
MappedCodeTransform,impact_code,v_1449,v_1449_impact_code,a,0.07654362404640006
MappedCodeTransform,impact_code,v_1449,v_1449_impact_code,b,-0.08543356327346407
MappedCodeTransform,deviation_code,v_1449,v_1449_deviation_code,a,1.3946992748174003
MappedCodeTransform,deviation_code,v_1449,v_1449_deviation_code,b,1.4854836412239776
MappedCodeTransform,prevalence_code,v_1449,v_1449_prevalence_code,a,0.58
MappedCodeTransform,prevalence_code,v_1449,v_1449_prevalence_code,b,0.42
IndicatorCodeTransform,indicator_code,v_1449,v_1449_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_1449,v_1449_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3626,v_3626_impact_code,a,9.228359204023853e-05
MappedCodeTransform,impact_code,v_3626,v_3626_impact_code,b,-7.017455758417447e-05
MappedCodeTransform,deviation_code,v_3626,v_3626_deviation_code,a,1.3411401332115056
MappedCodeTransform,deviation_code,v_3626,v_3626_deviation_code,b,1.5433388953080664
MappedCodeTransform,prevalence_code,v_3626,v_3626_prevalence_code,a,0.52
MappedCodeTransform,prevalence_code,v_3626,v_3626_prevalence_code,b,0.48
IndicatorCodeTransform,indicator_code,v_3626,v_3626_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3626,v_3626_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3105,v_3105_impact_code,a,-0.027357390438073278
MappedCodeTransform,impact_code,v_3105,v_3105_impact_code,b,0.033468673764599215
MappedCodeTransform,deviation_code,v_3105,v_3105_deviation_code,a,1.5321792477411191
MappedCodeTransform,deviation_code,v_3105,v_3105_deviation_code,b,1.333752774355685
MappedCodeTransform,prevalence_code,v_3105,v_3105_prevalence_code,a,0.51
MappedCodeTransform,prevalence_code,v_3105,v_3105_prevalence_code,b,0.49
IndicatorCodeTransform,indicator_code,v_3105,v_3105_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3105,v_3105_lev_b,b,1.0
MappedCodeTransform,impact_code,v_4434,v_4434_impact_code,a,0.009374820537292463
MappedCodeTransform,impact_code,v_4434,v_4434_impact_code,b,-0.006935660304914508
MappedCodeTransform,deviation_code,v_4434,v_4434_deviation_code,a,1.3088406053489463
MappedCodeTransform,deviation_code,v_4434,v_4434_deviation_code,b,1.5521201988009605
MappedCodeTransform,prevalence_code,v_4434,v_4434_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_4434,v_4434_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_4434,v_4434_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_4434,v_4434_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3498,v_3498_impact_code,a,0.32588723782959744
MappedCodeTransform,impact_code,v_3498,v_3498_impact_code,b,-0.36438123711887405
MappedCodeTransform,deviation_code,v_3498,v_3498_deviation_code,a,1.300485919569485
MappedCodeTransform,deviation_code,v_3498,v_3498_deviation_code,b,1.482113390974245
MappedCodeTransform,prevalence_code,v_3498,v_3498_prevalence_code,a,0.54
MappedCodeTransform,prevalence_code,v_3498,v_3498_prevalence_code,b,0.46
IndicatorCodeTransform,indicator_code,v_3498,v_3498_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3498,v_3498_lev_b,b,1.0
MappedCodeTransform,impact_code,v_982,v_982_impact_code,a,0.025519854752935233
MappedCodeTransform,impact_code,v_982,v_982_impact_code,b,-0.02650376274813075
MappedCodeTransform,deviation_code,v_982,v_982_deviation_code,a,1.476453568040104
MappedCodeTransform,deviation_code,v_982,v_982_deviation_code,b,1.4046315758283419
MappedCodeTransform,prevalence_code,v_982,v_982_prevalence_code,a,0.47
MappedCodeTransform,prevalence_code,v_982,v_982_prevalence_code,b,0.53
IndicatorCodeTransform,indicator_code,v_982,v_982_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_982,v_982_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2356,v_2356_impact_code,a,0.08770246437872642
MappedCodeTransform,impact_code,v_2356,v_2356_impact_code,b,-0.08376276612334553
MappedCodeTransform,deviation_code,v_2356,v_2356_deviation_code,a,1.3962052918284613
MappedCodeTransform,deviation_code,v_2356,v_2356_deviation_code,b,1.4686906096363612
MappedCodeTransform,prevalence_code,v_2356,v_2356_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_2356,v_2356_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_2356,v_2356_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2356,v_2356_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3603,v_3603_impact_code,a,-0.012941995060154872
MappedCodeTransform,impact_code,v_3603,v_3603_impact_code,b,0.010849939907921071
MappedCodeTransform,deviation_code,v_3603,v_3603_deviation_code,a,1.3639351602389067
MappedCodeTransform,deviation_code,v_3603,v_3603_deviation_code,b,1.5070240906078856
MappedCodeTransform,prevalence_code,v_3603,v_3603_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_3603,v_3603_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_3603,v_3603_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3603,v_3603_lev_a,a,1.0
MappedCodeTransform,impact_code,v_569,v_569_impact_code,a,0.11323159048209128
MappedCodeTransform,impact_code,v_569,v_569_impact_code,b,-0.15161428193277723
MappedCodeTransform,deviation_code,v_569,v_569_deviation_code,a,1.449307993375391
MappedCodeTransform,deviation_code,v_569,v_569_deviation_code,b,1.3943319507257486
MappedCodeTransform,prevalence_code,v_569,v_569_prevalence_code,a,0.6
MappedCodeTransform,prevalence_code,v_569,v_569_prevalence_code,b,0.4
IndicatorCodeTransform,indicator_code,v_569,v_569_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_569,v_569_lev_b,b,1.0
MappedCodeTransform,impact_code,v_467,v_467_impact_code,a,0.09491777032816395
MappedCodeTransform,impact_code,v_467,v_467_impact_code,b,-0.08626613926109605
MappedCodeTransform,deviation_code,v_467,v_467_deviation_code,a,1.4664452437471103
MappedCodeTransform,deviation_code,v_467,v_467_deviation_code,b,1.405137645952081
MappedCodeTransform,prevalence_code,v_467,v_467_prevalence_code,a,0.44
MappedCodeTransform,prevalence_code,v_467,v_467_prevalence_code,b,0.56
IndicatorCodeTransform,indicator_code,v_467,v_467_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_467,v_467_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3188,v_3188_impact_code,a,-0.0671404493362527
MappedCodeTransform,impact_code,v_3188,v_3188_impact_code,b,0.06509525740612435
MappedCodeTransform,deviation_code,v_3188,v_3188_deviation_code,a,1.4827851834749075
MappedCodeTransform,deviation_code,v_3188,v_3188_deviation_code,b,1.394710735336852
MappedCodeTransform,prevalence_code,v_3188,v_3188_prevalence_code,a,0.45
MappedCodeTransform,prevalence_code,v_3188,v_3188_prevalence_code,b,0.55
IndicatorCodeTransform,indicator_code,v_3188,v_3188_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3188,v_3188_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3591,v_3591_impact_code,a,0.045372116228824144
MappedCodeTransform,impact_code,v_3591,v_3591_impact_code,b,-0.03578938822932677
MappedCodeTransform,deviation_code,v_3591,v_3591_deviation_code,a,1.3094793287891129
MappedCodeTransform,deviation_code,v_3591,v_3591_deviation_code,b,1.5461148607667883
MappedCodeTransform,prevalence_code,v_3591,v_3591_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_3591,v_3591_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_3591,v_3591_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3591,v_3591_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3564,v_3564_impact_code,a,0.29438342008460255
MappedCodeTransform,impact_code,v_3564,v_3564_impact_code,b,-0.24282095389175107
MappedCodeTransform,deviation_code,v_3564,v_3564_deviation_code,a,1.344488075029736
MappedCodeTransform,deviation_code,v_3564,v_3564_deviation_code,b,1.4526972612588709
MappedCodeTransform,prevalence_code,v_3564,v_3564_prevalence_code,a,0.45
MappedCodeTransform,prevalence_code,v_3564,v_3564_prevalence_code,b,0.55
IndicatorCodeTransform,indicator_code,v_3564,v_3564_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3564,v_3564_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2737,v_2737_impact_code,a,0.0237567856405618
MappedCodeTransform,impact_code,v_2737,v_2737_impact_code,b,-0.01746711945304716
MappedCodeTransform,deviation_code,v_2737,v_2737_deviation_code,a,1.2847817250583584
MappedCodeTransform,deviation_code,v_2737,v_2737_deviation_code,b,1.5788597234567017
MappedCodeTransform,prevalence_code,v_2737,v_2737_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_2737,v_2737_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_2737,v_2737_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2737,v_2737_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3994,v_3994_impact_code,a,-0.0001929940152529629
MappedCodeTransform,impact_code,v_3994,v_3994_impact_code,b,0.0002470740324830741
MappedCodeTransform,deviation_code,v_3994,v_3994_deviation_code,a,1.529892011342057
MappedCodeTransform,deviation_code,v_3994,v_3994_deviation_code,b,1.347612637066666
MappedCodeTransform,prevalence_code,v_3994,v_3994_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_3994,v_3994_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_3994,v_3994_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3994,v_3994_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4893,v_4893_impact_code,a,0.00017634524580036146
MappedCodeTransform,impact_code,v_4893,v_4893_impact_code,b,-0.00024023895039303666
MappedCodeTransform,deviation_code,v_4893,v_4893_deviation_code,a,1.538305542285992
MappedCodeTransform,deviation_code,v_4893,v_4893_deviation_code,b,1.3133138315069235
MappedCodeTransform,prevalence_code,v_4893,v_4893_prevalence_code,a,0.55
MappedCodeTransform,prevalence_code,v_4893,v_4893_prevalence_code,b,0.45
IndicatorCodeTransform,indicator_code,v_4893,v_4893_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4893,v_4893_lev_b,b,1.0
MappedCodeTransform,impact_code,v_225,v_225_impact_code,a,0.07905256849498359
MappedCodeTransform,impact_code,v_225,v_225_impact_code,b,-0.062175217978594766
MappedCodeTransform,deviation_code,v_225,v_225_deviation_code,a,1.2541417860563182
MappedCodeTransform,deviation_code,v_225,v_225_deviation_code,b,1.5947508485518478
MappedCodeTransform,prevalence_code,v_225,v_225_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_225,v_225_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_225,v_225_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_225,v_225_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3843,v_3843_impact_code,a,0.0009273026320612077
MappedCodeTransform,impact_code,v_3843,v_3843_impact_code,b,-0.0011352205112208015
MappedCodeTransform,deviation_code,v_3843,v_3843_deviation_code,a,1.523876001439899
MappedCodeTransform,deviation_code,v_3843,v_3843_deviation_code,b,1.3676288398197767
MappedCodeTransform,prevalence_code,v_3843,v_3843_prevalence_code,a,0.46
MappedCodeTransform,prevalence_code,v_3843,v_3843_prevalence_code,b,0.54
IndicatorCodeTransform,indicator_code,v_3843,v_3843_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3843,v_3843_lev_a,a,1.0
MappedCodeTransform,impact_code,v_169,v_169_impact_code,a,-0.09726045168642512
MappedCodeTransform,impact_code,v_169,v_169_impact_code,b,0.08530929197794511
MappedCodeTransform,deviation_code,v_169,v_169_deviation_code,a,1.3945420762646452
MappedCodeTransform,deviation_code,v_169,v_169_deviation_code,b,1.4636889942593807
MappedCodeTransform,prevalence_code,v_169,v_169_prevalence_code,a,0.46
MappedCodeTransform,prevalence_code,v_169,v_169_prevalence_code,b,0.54
IndicatorCodeTransform,indicator_code,v_169,v_169_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_169,v_169_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2031,v_2031_impact_code,a,-0.012960888439888827
MappedCodeTransform,impact_code,v_2031,v_2031_impact_code,b,0.016157731693922088
MappedCodeTransform,deviation_code,v_2031,v_2031_deviation_code,a,1.5066945344704712
MappedCodeTransform,deviation_code,v_2031,v_2031_deviation_code,b,1.3497283966956215
MappedCodeTransform,prevalence_code,v_2031,v_2031_prevalence_code,a,0.56
MappedCodeTransform,prevalence_code,v_2031,v_2031_prevalence_code,b,0.44
IndicatorCodeTransform,indicator_code,v_2031,v_2031_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2031,v_2031_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3770,v_3770_impact_code,a,-3.649675186501427e-06
MappedCodeTransform,impact_code,v_3770,v_3770_impact_code,b,3.520293398389914e-06
MappedCodeTransform,deviation_code,v_3770,v_3770_deviation_code,a,1.428736009337565
MappedCodeTransform,deviation_code,v_3770,v_3770_deviation_code,b,1.4555550555713486
MappedCodeTransform,prevalence_code,v_3770,v_3770_prevalence_code,a,0.52
MappedCodeTransform,prevalence_code,v_3770,v_3770_prevalence_code,b,0.48
IndicatorCodeTransform,indicator_code,v_3770,v_3770_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3770,v_3770_lev_b,b,1.0
